Title,Status,Category,Open Date,Close Date
Tela escura! - Financeiro,Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-30 16:42:01,2024-10-03 20:00:00
Requisição de periferico - Teclado - Programação,Pendente,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-09-30 16:16:35,2024-10-01 20:00:00
Email - Solicitar Exclusão de E-mail,Fechado,Tecnologia > Cross > Acesso,2024-09-30 15:25:15,2024-10-02 17:00:00
Usuário de Rede - RAFAEL DA COSTA ALVES,Fechado,Tecnologia > Cross > Acesso,2024-09-30 15:07:08,2024-10-02 17:00:00
Telefonia - Outros - Telefone fica mudo	,Solucionado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-09-30 10:47:10,2024-10-02 17:00:00
A máquina não está ligando. - RH,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-30 10:23:22,2024-10-03 20:00:00
Solicito a Instalação de Impressora  - 	Redação Rádio Mirante News,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-09-30 09:44:55,2024-10-02 20:00:00
BackStage - Solução de Problemas ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,2024-09-30 09:25:00,
"Bom dia, Estou reforçando o pedido de sexta-feira passada sobre a reinstalação do EASY ANEWS (antecessor do Anews) para consulta ao arquivo de Fitas da TV Mirante de 1996 até cerca de 2015. O EASY NEWS estava no antigo computador em que trabalhava e não e",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-30 08:24:00,2024-10-03 20:00:00
      Preciso ter acesso novamente ao EASY NEWS (Anterior ao ANEWS) onde está fichas de vts da Mirante de 2000 a 2017 mais ou menos. O Aplicativo existia no computador anterior em que eu trabalhava e foi removido para esse novo. Cláudio Dias do CEDOC ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-27 10:54:28,2024-09-30 20:00:00
Computador desligando repentinamente e de forma recorrente - Tecnologia,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-27 10:00:06,2024-09-30 20:00:00
Ar-condicionado - CEDOC - Não está ligando ,Em atendimento,Tecnologia > Serviço > Infraestrutura > Refrigeração,2024-09-26 15:43:20,2024-09-30 17:00:00
Email - Redefinir senha,Fechado,Tecnologia > Cross > Acesso,2024-09-26 13:15:54,2024-09-30 17:00:00
Solicitação de trânsito no meu usuário,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-26 10:22:10,2024-09-29 20:00:00
Email - Redefinir senha,Fechado,Tecnologia > Cross > Acesso,2024-09-25 14:48:06,2024-09-27 17:00:00
Verificar Fonte,Em atendimento,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-09-25 10:52:44,
"Máquina muito lenta para abrir documentos, imprimir e etc... - Financeiro",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-25 08:34:34,2024-09-28 20:00:00
Requisição de periferico - Mouse - Financeiro,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-09-25 08:33:09,2024-09-26 20:00:00
Anews - Criar novo usuário - Raimundo Lima,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,2024-09-24 17:27:11,2024-09-26 17:00:00
Boa tarde.     O computador está processando lento desde ontem.       - Comercial,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-24 14:16:14,2024-10-01 12:54:11
