Categoria,Quantidade
Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,15
Tecnologia > Serviço > Infraestrutura > Manutenção,4
Tecnologia > Serviço > Infraestrutura > Refrigeração,1
Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,4
Tecnologia > Cross > Acesso,10
Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,11
Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,3
Tecnologia > Serviço > Infraestrutura > Telefonia,4
Tecnologia > Serviço > Infraestrutura > Elétrica,1
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,1
