Title,Status,Category,Open Date,Close Date
"Instalação do Audacity, Audiomaster, e Internet via cabo RJ45",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-28 12:22:42,2024-07-01 20:00:00
Manutenção Técnica - Três Luminarias Estudio - Não Liga,Fechado,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-06-26 15:28:04,2024-06-28 17:00:00
Ar-condicionado - FATURAMENTO - Não está ligando ,Fechado,Tecnologia > Serviço > Infraestrutura > Refrigeração,2024-06-26 09:35:08,2024-06-28 17:00:00
Requisição de periferico - Teclado - Financeiro,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-06-25 16:40:54,2024-06-26 20:00:00
Acesso a Pasta - FotoMir - \lisboa,Fechado,Tecnologia > Cross > Acesso,2024-06-25 11:40:40,2024-06-26 17:00:00
Preciso de um fone de ouvido ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-25 10:54:30,2024-07-01 06:23:00
Requisição de periferico - Mouse - Redação TV,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-06-24 09:34:55,2024-06-25 20:00:00
Email - Criar novo E-mail,Fechado,Tecnologia > Cross > Acesso,2024-06-21 12:13:38,2024-06-25 17:00:00
Tela Notebook,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-21 10:17:22,2024-06-24 20:00:00
"Boa tarde. Problema no computador ao lado do material bruto do setor CEDOC, pois está tendo muita lentidão no funcionamento da máquina para baixar os jornais completos com cabeça, e materiais do Jornalismo pelas redes sociais, bem como visualização do pro",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-06-20 15:40:31,2024-07-04 17:45:21
Instalar o TOTVS no meu computador,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-20 11:55:32,2024-06-23 20:00:00
Requisição de periferico - Teclado - Redação TV,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-06-19 11:25:23,2024-06-20 20:00:00
Email - Criar novo E-mail,Fechado,Tecnologia > Cross > Acesso,2024-06-19 10:54:30,2024-06-21 17:00:00
Problema Impressora  -  ,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-06-19 10:44:29,2024-06-21 20:00:00
Gravação da censura com o áudio estourando. - Rádio AM,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-06-19 09:51:04,2024-06-22 20:00:00
MUDANÇA DO LOCAL DA IMPRESSORA DA PRODUTORA ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-18 15:12:30,2024-06-21 20:00:00
Email,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-18 14:28:27,2024-06-21 20:00:00
email não abre ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-18 14:07:03,2024-06-21 20:00:00
Manutenção Técnica - TV LG - Odilon - TV Inoperante,Fechado,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-06-18 11:15:20,2024-06-20 17:00:00
Monitor piscando e dando linha!!!!! - Marketing,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-06-18 08:22:54,2024-06-21 20:00:00
   Maquina não liga. - Financeiro,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-06-17 15:01:52,2024-06-20 20:00:00
Problema com Ramal  - Outro problema,Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-06-17 11:26:54,2024-06-19 17:00:00
Problema com Ramal  - Telefone mudo,Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-06-17 09:21:09,2024-06-19 17:00:00
Email - Solicitar Exclusão de E-mail,Fechado,Tecnologia > Cross > Acesso,2024-06-14 16:59:05,2024-06-18 17:00:00
Problema Impressora  -  ,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-06-14 16:11:00,2024-06-16 20:00:00
Email - Solicitar Exclusão de E-mail,Fechado,Tecnologia > Cross > Acesso,2024-06-14 08:15:00,2024-06-18 17:00:00
Email - Solicitar Exclusão de E-mail,Fechado,Tecnologia > Cross > Acesso,2024-06-14 08:11:34,2024-06-18 17:00:00
Problema Impressora  -  ,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-06-13 15:19:53,2024-06-15 20:00:00
Email - Redefinir senha,Fechado,Tecnologia > Cross > Acesso,2024-06-13 14:00:56,2024-06-17 17:00:00
Problema com Ramal Jaqueline - Telefone mudo,Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-06-13 10:37:39,2024-06-17 17:00:00
monitor com tilt na tela - Financeiro,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-06-13 10:17:04,2024-06-16 20:00:00
"Telefonia - Outros - Áudio caixas de som nas mesas de Zeca, da atendente da rádio e no jornalismo da rádio	",Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-06-13 08:39:24,2024-06-17 17:00:00
O audacity nao funciona - Rádio FM,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-06-12 09:53:59,2024-06-15 20:00:00
Requisição de periferico - Outros - Redação TV,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-06-11 09:05:20,2024-07-19 06:30:48
Criação de Acesso a VPN Corporativa,Fechado,Tecnologia > Cross > Acesso,2024-06-11 07:49:59,2024-06-13 17:00:00
Problemas plataformas Globo - ilha do G1,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-11 07:29:00,2024-06-14 20:00:00
Bateria para a iluminação e um carregador para a bateria ( Urgente) ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-10 13:26:34,2024-06-13 20:00:00
Outras solicitações - ,Fechado,Tecnologia > Serviço > Infraestrutura > Elétrica,2024-06-10 11:51:48,2024-06-19 16:35:07
Email - Criar novo E-mail,Fechado,Tecnologia > Cross > Acesso,2024-06-10 09:57:31,2024-06-12 17:00:00
Manutenção Técnica - microfone lapela estudio 1 - PROBLEMAS NAS LAPELAS. MALHA QUEBRADA,Fechado,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-06-10 09:48:14,2024-06-12 17:00:00
Lentidão acesso rede e internet. - Comercial,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-06-07 14:21:13,2024-06-10 20:00:00
ILHA 5 - TRAVANDO DURANTE   A EDIÇÃO - HJ JA FOI REINICIADA 3 VEZES DURANTE A EDIÇÃO DE UMA MATÉRIA - Operação Jornalismo,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-06-07 10:05:45,2024-06-10 20:00:00
Relógios de Ponto,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-07 09:41:23,2024-06-10 20:00:00
ACESSO PASTA MARKETING TRANSITO,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-06 16:16:13,2024-06-09 20:00:00
Configurar Sistema - Mirante News FM,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-06 11:31:29,2024-06-09 20:00:00
Instalação rede transito,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-06 10:18:55,2024-06-09 20:00:00
Email - Solicitar Exclusão de E-mail,Fechado,Tecnologia > Cross > Acesso,2024-06-06 09:27:26,2024-06-10 17:00:00
Usuário Prestador Globo - Criação de Conta ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,2024-06-05 17:07:14,
"Olá, estou digitando esta msn com muita dificuldade. Teclado de letras invisíveis. Gostaria de que substituíssem.  Muito difícil trabalhar  Grato - Redação TV",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-06-05 14:51:55,2024-06-08 20:00:00
Instalação de programa - senha admin,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-04 16:30:00,2024-06-07 20:00:00
"OLÁ, MEU PC ESTÁ MUITO LENTO. GOSTARIA DE SOLICITAR UMA LIMPEZA OU VISTORIA PRA SABER SE HÁ ALGO DE ERRADO.  - Redação TV",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-06-04 16:17:52,2024-06-07 20:00:00
Redefinição de Senha do Usuário de Rede,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-06-04 09:33:41,2024-06-07 20:00:00
Está aparecendo alerta de vírus no computador e não estou conseguindo baixar os arquivos do e-mail. - Rádio FM,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-06-03 10:10:15,2024-06-06 20:00:00
MOCHILINK 02 - NÃO CARREGA - CONECTOR QUEBRADO,Fechado,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-06-03 09:31:22,
