Categoria,Quantidade
Tecnologia > Cross > Acesso,6
Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2
Tecnologia > Serviço > Infraestrutura > Manutenção,1
Tecnologia > Serviço > NOC > Ajuda e Suporte > Hardware (Dispositivos/Equipamentos),1
Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,4
Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,1
Tecnologia > Serviço > Infraestrutura > Telefonia,1
Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,1
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,1
