Categoria,Quantidade
Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,7
Tecnologia > Cross > Acesso,15
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,5
Tecnologia > Serviço > Infraestrutura > Telefonia,5
Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,19
Tecnologia > Cross > Infraestrutura,3
Tecnologia > PDI > Desenvolvimento,2
Tecnologia > Serviço > NOC > Suporte Técnico > Sinais e sistema,4
Tecnologia > Serviço > Infraestrutura > Manutenção,5
Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,4
Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,18
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,1
Tecnologia > Serviço > Infraestrutura > Refrigeração,5
Tecnologia > Serviço > Infraestrutura > Elétrica,7
Tecnologia > Cross > ERP,2
Tecnologia > PDI > Inteligência de dados,2
Tecnologia > Serviço > NOC > Suporte Técnico,1
Tecnologia,1
