Title,Status,Category,Open Date,Close Date
Ar-condicionado - CONTABILIDADE - Não está gelando ,Fechado,Tecnologia > Serviço > Infraestrutura > Refrigeração,2024-02-09 08:20:07,2024-02-13 17:00:00
Elemental - GLOBO-CDO e GLOBO-IMP - Indisponibilidade - INC0594441,Fechado,Tecnologia > Cross > Infraestrutura,2024-02-09 06:00:00,
Email - Solicitar Exclusão de E-mail,Fechado,Tecnologia > Cross > Acesso,2024-02-08 17:21:42,2024-02-12 17:00:00
Email - Solicitar Exclusão de E-mail,Fechado,Tecnologia > Cross > Acesso,2024-02-08 17:21:02,2024-02-12 17:00:00
"TOTVS -  Presidência, diretorias e gerencias - acesso totus",Fechado,Tecnologia > Cross > ERP,2024-02-08 14:03:25,2024-02-13 17:00:00
Requisição de periferico - Teclado - Marketing,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-02-08 10:11:53,2024-03-07 06:09:51
Consulta RH - Produto &#38; Soluções - Minha máquina foi formatada,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,2024-02-08 10:01:12,2024-02-12 17:00:00
Troca de memória RAM notebook . - Marketing,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-02-07 11:38:04,2024-02-10 20:00:00
Colocar o programa da GRRF da Caixa no PC,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-02-07 11:05:02,2024-02-10 20:00:00
"A barra de tarefas de início ficou toda preta por quase uma hora e não aparecia os acessos à VPN Globo, à pesquisa. E nem aos meus programas escolhidos: Chrome, Edge, Calculadora, Tesoura. Tampouco ao grupo data-hora, ícone de áudio do PC ou acesso à inte",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-02-06 18:30:38,2024-02-22 14:22:52
Cadastro de empresa,Fechado,Tecnologia > PDI > Inteligência de dados,2024-02-06 17:19:26,2024-02-09 20:00:00
Premiere Na Ilha do G1 ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-02-06 10:19:00,2024-02-09 20:00:00
Computador esta dando erro de funcionamento  - Produtora,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-02-05 15:28:36,2024-02-08 20:00:00
Trocar Evandro e Màrcia de Lugar,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-02-05 09:26:18,2024-02-12 10:08:22
sem acesso ao Consulta RH,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-02-05 08:53:28,2024-02-08 20:00:00
Cabos para mochilink ,Fechado,Tecnologia > Serviço > NOC > Suporte Técnico,2024-02-03 10:41:06,
Troca de módulos nobreak ,Fechado,Tecnologia > Serviço > Infraestrutura > Elétrica,2024-02-02 18:18:20,
Acesso ao Alfred,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-02-02 17:43:05,2024-02-05 20:00:00
Erro envio NFS-e Balsas,Fechado,Tecnologia,2024-02-02 17:20:02,
Criação de Acesso a VPN Corporativa,Fechado,Tecnologia > PDI > Desenvolvimento,2024-02-02 15:38:37,2024-02-06 17:00:00
PROBLEMAS COM INTERNET - FINANCEIRO,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-02-02 11:50:30,2024-02-05 20:00:00
Acesso a Pasta - Acompanhamento Vendas - Munique,Fechado,Tecnologia > Cross > Acesso,2024-02-02 11:47:14,2024-02-05 17:00:00
Acesso a Pasta - acompanhamento de vendas - munique,Fechado,Tecnologia > Cross > Acesso,2024-02-02 10:24:07,2024-02-05 17:00:00
Problema com Ramal Luan - Telefone mudo,Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-02-02 09:12:49,2024-02-06 17:00:00
Acesso a Pasta - COBRANCA - MUNIQUE,Fechado,Tecnologia > Cross > Acesso,2024-02-01 15:12:32,2024-02-02 17:00:00
Monitor está piscando!!!!! - Produtora,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-02-01 14:46:48,2024-02-04 20:00:00
Problema tomada - ,Fechado,Tecnologia > Serviço > Infraestrutura > Elétrica,2024-02-01 14:40:52,2024-02-03 20:00:00
Instação de Lampada - Serviço Rack 4 - Central Técnica,Fechado,Tecnologia > Serviço > Infraestrutura > Elétrica,2024-02-01 09:20:48,
Troca de Lampada - Lampadas de Serviço Central Tecnica,Fechado,Tecnologia > Serviço > Infraestrutura > Elétrica,2024-02-01 09:18:05,
Troca de Lampada - Luminárias Central Tecnica,Fechado,Tecnologia > Serviço > Infraestrutura > Elétrica,2024-02-01 09:09:43,
Troca de lâmpada - ,Fechado,Tecnologia > Serviço > Infraestrutura > Elétrica,2024-02-01 08:54:43,2024-02-03 20:00:00
