Categoria,Quantidade
Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,18
Tecnologia > Serviço > Infraestrutura > Elétrica,3
Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,11
Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,11
Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,5
Tecnologia > Serviço > NOC > Suporte de TI > Compartilhamento de Arquivos em Rede,1
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,6
Tecnologia > Serviço > Infraestrutura > Telefonia,4
Tecnologia > Cross > Acesso,7
Tecnologia > Cross > ERP,2
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,5
Tecnologia > Serviço > Infraestrutura > Refrigeração,3
Tecnologia > PDI > Desenvolvimento,1
