Categoria,Quantidade
Tecnologia > Operação > Operação Técnica > Skype,2
Tecnologia > Serviço > Infraestrutura > Refrigeração,3
Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,19
Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,21
Tecnologia > Cross > Acesso,20
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,4
Tecnologia > PDI > Desenvolvimento,2
Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,5
Tecnologia,2
Tecnologia > Serviço > Infraestrutura > Elétrica,2
Tecnologia > Serviço > Infraestrutura > Manutenção,8
Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,5
Tecnologia > Serviço > Infraestrutura > Telefonia,2
Tecnologia > Cross > Infraestrutura,1
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,1
Tecnologia > Cross > ERP,1
