Categoria,Quantidade
Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,22
Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,8
Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,3
Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,31
Tecnologia > Operação > Operação Técnica > Skype,3
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,8
Tecnologia > Serviço > Infraestrutura > Elétrica,4
Tecnologia > Cross > Acesso,20
Tecnologia > Serviço > Infraestrutura > Manutenção,6
Tecnologia > Serviço > Infraestrutura > Telefonia,6
Tecnologia,1
Tecnologia > Serviço > NOC > Ajuda e Suporte > Hardware (Dispositivos/Equipamentos),1
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,1
Tecnologia > Cross > ERP,1
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,1
