Categoria,Quantidade
Tecnologia > Cross > Acesso,4
Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2
Tecnologia > Serviço > Infraestrutura > Manutenção,1
Tecnologia > Serviço > NOC > Ajuda e Suporte > Hardware (Dispositivos/Equipamentos),1
Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,1
