Categoria,Quantidade
Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,18
Tecnologia > Serviço > Infraestrutura > Telefonia,2
Tecnologia > Cross > Acesso,21
Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,27
Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,3
Tecnologia > Serviço > Infraestrutura > Refrigeração,5
Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,9
Tecnologia > Cross > ERP,2
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,2
Tecnologia > Serviço > NOC > Ajuda e Suporte > Contas e Acessos,1
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,2
Tecnologia > Serviço > Infraestrutura > Manutenção,2
Tecnologia > Serviço > Infraestrutura > Elétrica,1
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,2
Tecnologia > Operação > Operação Técnica > Skype,3
