Title,Status,Category,Open Date,Close Date
Fábio - OPEC - Substituir HDD,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-31 14:44:12,
Não consigo acessar o e-mail - Comercial,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-31 12:14:03,2024-08-03 20:00:00
Alteração de local do Ramal de comercial para COMERCIAL,Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-07-31 10:31:34,2024-08-02 17:00:00
Jacqueline - Redefinção de Senha de Rede,Fechado,Tecnologia > Cross > Acesso,2024-07-31 09:19:54,
Apoio para reunião ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-31 08:55:53,2024-08-03 20:00:00
Apoio para reunião ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-31 08:50:55,2024-08-03 20:00:00
INSTALAÇÃO DE SOFTWARE,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-30 16:00:32,2024-08-02 20:00:00
INSTALAÇÃO DO PROGRAMA ARH,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-30 15:34:45,2024-08-02 20:00:00
a máquina está lenta; sem condições de trabalho. - Presidência,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-30 14:45:36,2024-09-08 14:49:21
Senha Prestador,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-30 13:27:17,2024-08-02 20:00:00
Bom dia.  Estou sem acesso à internet no computador!!!!! - Redação TV,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-30 09:37:01,2024-08-02 20:00:00
Problema Impressora  -  ,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-07-30 08:40:49,2024-08-01 20:00:00
Acesso a Pasta - Sistema sem áudio de matérias salvas no programa  - Sistema Alfred02,Fechado,Tecnologia > Cross > Acesso,2024-07-29 17:49:46,2024-07-30 17:00:00
Telefonia - Outros - Telefone não está dando sinal	,Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-07-29 10:56:57,2024-07-31 17:00:00
O computador dela não ta ligando - Marketing,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-29 09:22:40,2024-08-01 20:00:00
Ar-condicionado - marketing - Não está gelando ,Fechado,Tecnologia > Serviço > Infraestrutura > Refrigeração,2024-07-29 09:22:28,2024-07-31 17:00:00
Ar-condicionado - Marketing - Não está gelando ,Fechado,Tecnologia > Serviço > Infraestrutura > Refrigeração,2024-07-29 09:21:36,2024-07-31 17:00:00
ACESSO NOVO ADMIN,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-25 15:16:35,2024-07-28 20:00:00
Instalação de programa,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-25 11:35:58,2024-07-28 20:00:00
Requisição de periferico - Outros - Presidência,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-07-25 08:46:36,2024-07-26 20:00:00
Email - Criar novo E-mail,Fechado,Tecnologia > Cross > Acesso,2024-07-24 14:23:00,2024-07-26 17:00:00
Acesso a Pasta - Sistema  - Sistema Alfred02,Fechado,Tecnologia > Cross > Acesso,2024-07-24 14:11:31,2024-07-25 17:00:00
TOTVS -  Controladoria - Faturamento - Outras solicitações,Fechado,Tecnologia > Cross > ERP,2024-07-23 17:03:50,2024-07-26 17:00:00
Email - Criar novo E-mail,Fechado,Tecnologia > Cross > Acesso,2024-07-23 14:22:10,2024-07-25 17:00:00
Ar-condicionado - marketing - Não está gelando ,Fechado,Tecnologia > Serviço > Infraestrutura > Refrigeração,2024-07-23 13:56:10,2024-07-25 17:00:00
"Bom dia,  PC muito lento.  Lento até pra abrir uma planilha excel que não está na rede.       - Comercial",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-23 11:48:02,2024-07-26 20:00:00
A entrada USB do computador (ilha do imirante) não está lendo cartão. - Imirante/G1,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-23 10:53:37,2024-07-26 20:00:00
SOLICITA MOUSE,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-23 08:16:16,2024-07-26 20:00:00
Problema  - Outros  - Redação TV,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-07-23 08:09:17,2024-07-24 20:00:00
Requisição de periferico - Mouse - Redação TV,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-07-23 08:03:38,2024-07-24 20:00:00
Problema  - Outros  - Redação TV,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-07-23 08:02:38,2024-07-24 20:00:00
"O monitor da câmera 1, que funciona como TP, é menor que o anterior e com isso o texto está incompleto, dificultando a leitura do apresentador e a operação do mesmo.  - Operação Jornalismo",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-22 19:03:02,2024-07-25 20:00:00
Usuário Prestador Globo - Criação de Conta ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,2024-07-22 09:35:55,
Problema  - Fones  - Marketing,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-07-22 09:24:50,2024-07-23 20:00:00
Instalação do drive da Wacom,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-19 17:15:43,2024-07-22 20:00:00
"Não consigo abrir arquivos png/jpeg, da esse erro em qualquer arquivo em qualquer pasta #ef2d651a-e509fb39-669ac049737bf7.15737221# - Marketing",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-19 16:37:19,2024-07-22 20:00:00
Solicitação de acesso,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-19 15:27:13,2024-07-22 20:00:00
redefinição de senha rede,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Contas e Acessos,2024-07-18 17:33:13,2024-07-21 20:00:00
Acesso a Pasta - matheus.monteiro - SERVIDOR TRÂNSITO,Fechado,Tecnologia > Cross > Acesso,2024-07-18 17:31:18,2024-07-19 17:00:00
Problema Impressora  -  ,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-07-18 10:28:03,2024-07-20 20:00:00
Pouco espaço em disco,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-18 10:23:14,2024-07-21 20:00:00
Solicitação de material,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-18 10:23:01,2024-07-21 20:00:00
Pc não liga,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-18 10:15:00,
Anews -  NOME DO REPÓRTER,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,2024-07-17 09:24:42,2024-07-20 20:00:00
Acesso ao site Banco Daycoval,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-17 09:03:47,2024-07-20 20:00:00
Requisição de periferico - Mouse - RH,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-07-16 16:41:52,2024-07-17 20:00:00
"MUDAR O LOCAL DE SALVAMENTO DO PROGRAMA, MUDAR DO DISCO (C) PARA O DISCO (D) - Produtora",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-16 14:54:53,2024-07-19 20:00:00
Anews -  OS NÚMEROS DO GC NÃO APARECEM,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,2024-07-16 14:30:06,2024-07-19 20:00:00
mudar computador de mesa,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-16 08:31:15,2024-07-19 20:00:00
Mudança de máquina,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-15 10:33:52,2024-07-18 20:00:00
Acesso a pasta trânsito,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-12 17:52:17,2024-07-15 20:00:00
Requisição de periferico - Mouse - Marketing,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-07-12 15:33:21,2024-07-18 13:39:58
Ar-condicionado - marketing - Não está ligando ,Fechado,Tecnologia > Serviço > Infraestrutura > Refrigeração,2024-07-12 14:39:37,2024-07-16 17:00:00
VPN Globo - Criação de Conta ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,2024-07-12 11:22:46,
Email - Redefinir senha,Fechado,Tecnologia > Cross > Acesso,2024-07-12 09:48:43,2024-07-16 17:00:00
Instalação do pacote Adobe,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-11 13:44:55,2024-07-14 20:00:00
"Máquina da bancada 3, posição 6, está super lenta.  - Redação TV",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-11 10:15:35,2024-07-14 20:00:00
Manutenção Técnica - Caixinha de som - Mau contato no botão de volume,Fechado,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-07-11 09:42:31,2024-07-15 17:00:00
Usuario não Cadastrado - Produtora,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-10 17:42:41,2024-07-13 20:00:00
Acesso Programa Recibos,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-10 16:02:00,2024-07-13 20:00:00
PRIMEIRO ACESSO,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-10 14:47:48,2024-07-13 20:00:00
instalar programa ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-10 10:50:47,2024-07-13 20:00:00
"Meus programas de player de vídeos não estão funcionando, para que eu possa aprovar matérias. - Redação TV",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-10 10:41:26,2024-07-13 20:00:00
PASTA TRÂNSITO,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-10 09:39:03,2024-07-13 20:00:00
PROBLEMAS NO SERVIDOR ALFRED,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-10 09:28:14,2024-07-13 20:00:00
Substituição de bateria,Fechado,Tecnologia > Serviço > Infraestrutura > Elétrica,2024-07-10 07:51:54,2024-09-30 12:00:00
TOTVS -  Controladoria - Faturamento - Outras solicitações,Fechado,Tecnologia > Cross > ERP,2024-07-09 18:11:38,2024-07-12 17:00:00
CEDOC FITAS,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-09 15:57:06,2024-07-12 20:00:00
Email - Solicitar Exclusão de E-mail,Fechado,Tecnologia > Cross > Acesso,2024-07-09 14:17:48,2024-07-11 17:00:00
Email - Solicitar Exclusão de E-mail,Fechado,Tecnologia > Cross > Acesso,2024-07-09 14:17:06,2024-07-11 17:00:00
Email - Solicitar Exclusão de E-mail,Fechado,Tecnologia > Cross > Acesso,2024-07-09 14:16:03,2024-07-11 17:00:00
Usuário de Rede - JEFFERSSON DE CARVALHO,Fechado,Tecnologia > Cross > Acesso,2024-07-09 14:14:20,2024-07-11 17:00:00
Usuário de Rede - BEATRIZ ALTINA DE CARVALHO COSTA,Fechado,Tecnologia > Cross > Acesso,2024-07-09 14:13:30,2024-07-11 17:00:00
Usuário de Rede - LORENNA CRISTINA SOMBREIRA DA SILVA,Fechado,Tecnologia > Cross > Acesso,2024-07-09 14:12:32,2024-07-11 17:00:00
Usuário de Rede - MATHEUS VINICIUS SILVA MONTEIRO,Fechado,Tecnologia > Cross > Acesso,2024-07-09 14:01:54,2024-07-11 17:00:00
Usuário de Rede - THIAGO LOPES DA SILVA,Fechado,Tecnologia > Cross > Acesso,2024-07-09 14:00:51,2024-07-11 17:00:00
Usuário de Rede - HUGO LEONARDO VIEGAS SILVA,Fechado,Tecnologia > Cross > Acesso,2024-07-09 14:00:01,2024-07-11 17:00:00
Requisição de periferico - Mouse - Redação TV,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-07-09 08:54:26,2024-07-10 20:00:00
Jana Fontenele não consegue colocar sua senha no computador - Redação TV,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-09 08:51:42,2024-07-12 20:00:00
Acesso a Pasta - CEDOC 02 E CEDOC 03 - CATÁLOGOS E MATÉRIAS ESPECÍFICASS DESTINADAS AO JORNALISMO  - Camila Moura,Fechado,Tecnologia > Cross > Acesso,2024-07-06 14:35:34,2024-07-09 17:00:00
"boa tarde      O computador instalado ao lado da catalogação apresenta falhas de hardware e segundo técnico avaliou seria necessário uma nova máquina para realização do trabalho de mídias, imagens , reportagens , uso do MMS , Anews, Whatsapp Jornalism",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-06 14:29:51,2024-07-09 20:00:00
ACESSO AO ITS,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-06 08:49:47,2024-07-09 20:00:00
SBC - FINANCEIRO - COBRANÇA - ATALHO,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,2024-07-05 16:03:02,2024-07-09 17:00:00
Acesso a Pasta - SCB - Viena,Fechado,Tecnologia > Cross > Acesso,2024-07-05 16:01:46,2024-07-08 17:00:00
Entrevista via Skype -  JM2 - GABRIELA ARARU ,Fechado,Tecnologia > Operação > Operação Técnica > Skype,2024-07-05 14:40:12,2024-07-06 05:40:12
Computador travando. - Imirante/G1,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-07-05 12:41:52,2024-07-08 20:00:00
criação de senha de acesso para o computador e para o Anews (produção),Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-05 11:38:12,2024-07-08 20:00:00
EXCEL,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-04 14:08:17,2024-07-07 20:00:00
Manutenção Técnica - MONITOR LG - MASTER - As vezes liga - mas sai fumaça da fonte as vezes,Fechado,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-07-04 10:31:23,2024-07-08 17:00:00
CRIAÇÃO DE QR CODE,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-07-04 10:27:58,2024-07-07 20:00:00
