Categoria,Quantidade
Tecnologia > Cross > Acesso,17
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,1
Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,19
Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,24
Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,15
Tecnologia > Cross > ERP,1
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,3
Tecnologia > Cross > Infraestrutura,2
Tecnologia > Serviço > Infraestrutura > Telefonia,15
Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,8
Tecnologia > Cross > Segurança,1
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Internet e Redes,1
Tecnologia > Operação > Operação Técnica > Skype,1
Tecnologia > Serviço > Infraestrutura > Elétrica,1
Tecnologia > Serviço > Infraestrutura > Manutenção,4
Tecnologia > Serviço > NOC > Ajuda e Suporte > Hardware (Dispositivos/Equipamentos),3
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,3
Tecnologia > Operação > Operação Técnica > AO VIVO,2
Tecnologia > Serviço > Infraestrutura > Refrigeração,1
Tecnologia > Serviço > NOC > Suporte de TI,1
Tecnologia > Serviço > Infraestrutura > Segurança Eletrônica,1
Tecnologia > Serviço > NOC > Suporte Técnico,1
