Categoria,Quantidade
Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,12
Tecnologia > Serviço > Infraestrutura > Telefonia,2
Tecnologia > Serviço > Infraestrutura > Refrigeração,2
Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,11
Tecnologia > Cross > Acesso,4
Tecnologia > PDI > Desenvolvimento,2
Tecnologia > Serviço > Infraestrutura > Manutenção,2
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,2
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,1
Tecnologia > Cross > ERP,4
Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,3
Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,4
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,1
Tecnologia > Operação > Operação Técnica > AO VIVO,1
