Title,Status,Category,Open Date,Close Date
Problema no driver de vídeo ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-05-29 17:28:47,2024-06-01 20:00:00
Solicitação de instalação de Ramal - CEDOC   ,Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-05-29 15:09:24,2024-05-31 17:00:00
Ar-condicionado - OPEC/MKT - Outros Continua o barulho ensurdecedor,Fechado,Tecnologia > Serviço > Infraestrutura > Refrigeração,2024-05-28 11:17:45,2024-05-30 17:00:00
Ar-condicionado - OPEC/MKT - Outros Barulho ensurdecedor,Fechado,Tecnologia > Serviço > Infraestrutura > Refrigeração,2024-05-27 17:03:14,2024-05-29 17:00:00
trânsito não funciona - Operação Jornalismo,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-05-27 15:49:53,2024-05-30 20:00:00
Atualização do Adobe Premiere no Imirante.com,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-05-27 11:38:26,2024-05-30 20:00:00
Email - Redefinir senha,Fechado,Tecnologia > Cross > Acesso,2024-05-27 08:01:58,2024-05-29 17:00:00
Solução de problemas - ,Fechado,Tecnologia > PDI > Desenvolvimento,2024-05-25 08:56:35,2024-05-30 17:00:00
TV Comercial,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-05-24 10:52:24,2024-05-27 20:00:00
Problema com Ramal  - Telefone não toca,Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-05-22 17:52:49,2024-05-24 17:00:00
Manutenção Técnica - Lapelas Edtúdio - Problemas nos cabos das lapelas,Fechado,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-05-22 10:28:31,2024-05-24 17:00:00
Acesso ao Trânsito para Marcus Cidreira,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-05-22 10:04:00,2024-05-25 20:00:00
SENHA PARA INSTALAR  PluralEyes - Produtora,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-05-21 13:19:04,2024-05-24 20:00:00
Photoshop para a Ilha do G1,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-05-21 12:30:01,2024-05-30 15:12:57
Combustivel - Transporte - Sistema não funciona,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,2024-05-21 09:04:56,2024-05-23 17:00:00
INSTALAÇÃO DRIVER WACOM ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-05-21 08:36:29,2024-05-24 20:00:00
Problema com E-mail,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-05-20 16:56:53,2024-05-23 20:00:00
Troca de senha do usuário,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-05-20 14:55:07,2024-05-23 20:00:00
BackStage - Solução de Problemas ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,2024-05-20 09:37:34,
Solicitação de teclado novo e instalação dos programas de ,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-05-20 07:37:20,2024-08-29 09:24:04
TOTVS -  RH - Atualização da base teste ,Fechado,Tecnologia > Cross > ERP,2024-05-17 16:47:15,2024-05-22 17:00:00
Notebook lento. Trava até com o bloco de notas. Muito ruim. - Operação Jornalismo,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-05-17 15:33:17,2024-05-20 20:00:00
Problema Impressora  -  ,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-05-17 10:04:20,2024-05-19 20:00:00
Photoshop,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-05-17 09:47:09,2024-07-15 07:37:55
Email - Redefinir senha,Fechado,Tecnologia > Cross > Acesso,2024-05-17 08:32:05,2024-05-21 17:00:00
Acesso a Pasta - TRÂNSITO - TRÂNSITO,Fechado,Tecnologia > Cross > Acesso,2024-05-16 09:35:41,2024-05-17 17:00:00
Solução de problemas - ,Fechado,Tecnologia > PDI > Desenvolvimento,2024-05-16 09:14:15,2024-05-21 17:00:00
Problema  - Outros  - Rádio FM,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-05-15 16:01:55,2024-05-16 20:00:00
Solicitação de Acesso ao trânsito,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-05-15 15:03:58,2024-05-18 20:00:00
Anews -  Instalação,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,2024-05-13 16:35:49,2024-05-16 20:00:00
Requisição de periferico - Fones - Redação TV,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-05-13 16:30:36,2024-07-25 06:35:32
REDE MKT 2 FORA DO AR,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-05-13 14:05:49,2024-05-16 20:00:00
A senha do meu usuário não está entrando no meu computador. E não é possível redefinir por aqui.  - Imirante/G1,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-05-13 09:49:19,2024-05-16 20:00:00
Manutenção Técnica - Ponto e Lapelas Edtúdio - Problemas nos cabos das lapelas e o ponto não está lçigando,Fechado,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-05-10 10:21:35,2024-05-14 17:00:00
Problema  - Fones  - Rádio AM,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-05-09 10:45:33,2024-05-13 07:36:25
TOTVS -  RH - Atualização base teste,Fechado,Tecnologia > Cross > ERP,2024-05-09 09:14:58,2024-05-14 17:00:00
"Computador travando. Aviso de vírus. Estou sem poder trabalhar. Peço urgência, por favor! - Redação TV",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-05-08 10:10:45,2024-05-11 20:00:00
Email - Criar novo E-mail,Fechado,Tecnologia > Cross > Acesso,2024-05-07 15:58:15,2024-05-09 17:00:00
COMPUTADOR REINICIANDO E TELA AZUL - Financeiro,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-05-07 15:43:02,2024-05-10 20:00:00
Problema Impressora  -  ,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-05-07 14:03:34,2024-05-09 20:00:00
"         Computador sem internet enquanto outros da mesma bancada estão ""normais"" - Redação TV",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-05-07 08:29:08,2024-05-10 20:00:00
Requisição de periferico - Outros - Financeiro,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-05-06 16:17:12,2024-05-07 20:00:00
"Computador reiniciando constantemente, impossibilitando o trabalho.     - Financeiro",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-05-06 16:15:31,2024-05-09 20:00:00
PRECISAMOS COLOCAR A MÁQUINA NO DOMÍNIO E DEFINIR USUÁRIOS QUE SERÃO UTILIZADOS PARA ACESSAR O ATENAS E O COMPUTADOR. - Comercial,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-05-06 11:00:29,2024-07-19 14:32:36
Problema Impressora  -  ,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-05-06 09:07:02,2024-05-08 20:00:00
TOTVS -  Outros - Colocar a pasta do trânsito em dois computador. ,Fechado,Tecnologia > Cross > ERP,2024-05-06 08:44:41,2024-05-09 17:00:00
      Computador em que trabalho trava quando tento copiar um arquivo baixado. - Redação TV,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-05-04 08:50:17,2024-05-07 20:00:00
TOTVS - SEVILHA - Não está acessando Totvs.,Fechado,Tecnologia > Cross > ERP,2024-05-03 09:06:47,2024-05-08 17:00:00
CONTAS - COBRANÇA - Diferença de Dados....,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,2024-05-02 14:11:57,2024-05-06 17:00:00
"Computador ""trava"" quando tenta copiar algum arquivo para o Trânsito    - Redação TV",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-05-01 10:55:23,2024-05-04 20:00:00
Solicitação de AO VIVO - BDM -  Murilo Lucena,Fechado,Tecnologia > Operação > Operação Técnica > AO VIVO,2024-05-01 10:17:11,2024-05-01 16:17:11
